Element,Symbol,Type,cry_str,At_No,r,VEC,r_cov,E_GPa,Coh_E,Work_Function,n_WS,V_m,R_P,K_GPa,G_GPa
Platinum,Pt,transition,fcc,78,1.39,10,1.3,170,5.84,5.65,5.64,9.1,1,278.4,61.02
Gold,Au,transition,fcc,79,1.44,11,1.3,78,3.81,5.15,3.87,10.2,0.3,173.2,27.57
Thallium,Tl,non_transition,hcp,81,1.72,3,1.44,7.89,1.88,3.9,1.4,17.23,1.9,35.93,2.747
Lead,Pb,non_transition,fcc,82,1.75,4,1.45,15.8,2.03,4.1,1.52,18.28,2.1,42.99,5.396
Thorium,Th,transition,fcc,90,1.8,3,1.9,0,6.2,3.3,2.1,19.8,0.7,54.29,27.86
Uranium,U,transition,orth,92,1.42,3,1.83,0,5.55,3.9,3.44,13.15,1,98.79,73.58
Arsenic,As,non_transition,rho,33,,,,,,4.8,3,11.85,2.3,3.942,1.462
Bismuth,Bi,non_transition,rho,83,,,,,,4.15,1.56,19.32,2.3,3.148,1.285
Mercury,Hg,non_transition,rho,80,,,,,,4.2,1.91,14.08,1.4,2.825,1.001
Plutonium,Pu,transition,mon,94,,,,,,3.8,2.99,12.06,1,5.356,4.375
Antimony,Sb,non_transition,rho,51,,,,,,4.4,2,16.95,2.3,3.829,2.001
,Ce+4,,,,,,,,,3.25,2.41,16.04,,,
,Ce+3,,,,,,,,,3.18,1.69,21.62,,,
,Eu+2,,,,,,,,,2.5,0.68,28.95,,,
,Eu+3,,,,,,,,,3.2,1.77,19.97,,,
,Yb+2,,,,,,,,,2.58,0.78,24.87,,,
,Yb+3,,,,,,,,,3.22,1.86,17.97,,,
